Year	Age	Female	Male	Total
1973	100	0.344120059656972	0.413095044127631	0.434849413886384
1973	101	0.450518485121731	0.550991235758107	0.391977134146341
1973	102	0.326827176781003	0.451252653927813	0.341564429530201
1973	103	0.407838087895143	0.66809146810146	0.31016482300885
1973	104	0.24280608561114	1.07832420429312	0.286017169614984
1973	105	0.423695451928613	0	0.467387533875339
1973	106	0.29557222566646	0.756525194805195	0.53690350877193
1973	107	0.542612506680919	.	0.534049447659127
1973	108	1.14688064791134	0	0.576966509988249
1973	109	0	0.744925414364641	0.363175841795831
1973	110+	0	0	0
1974	0	0.0121002527379949	0.0149483717235902	0.00917685950413223
1974	1	0.000693213296398892	0.000646218931782126	0.00104303086997194
1974	2	0.000411927877947295	0.000396504642271983	0.000464561403508772
1974	3	0.000298356510745891	0.000590382902938557	0.000292908530318602
1974	4	0.000188923395445135	0.000267655786350148	0.000217437533227007
1974	5	0.000292156862745098	0.000352896341463415	0.000282962962962963
1974	6	0.000172526041666667	0.000305828917486752	0.000219751471550033
1974	7	0.000146380697050938	0.00032213608957795	0.000167181069958848
1974	8	0.000147024504084014	0.000232986389111289	0.000203288490284006
1974	9	0.000123921085080148	0.000143223819301848	0.00018784099766173
1974	10	0.000197573656845754	0.000154239019407559	0.000165320074580485
1974	11	0.000168456375838926	0.000184551886792453	0.000248900615655233
1974	12	0.00012696335078534	0.000264455782312925	0.000190547636909227
1974	13	0.000184257602862254	0.000278810408921933	0.000237978810105949
1974	14	0.000248780487804878	0.000318101933216169	0.000179755671902269
1974	15	0.000227431770468859	0.000422300263388938	0.000324
1974	16	0.000246870653685675	0.000564338235294118	0.000252980819077242
1974	17	0.000221339387060159	0.000549467275494673	0.000461586121437423
1974	18	0.000334995843724023	0.000707692307692308	0.000650563607085346
1974	19	0.000246439628482972	0.00111733800350263	0.000491574665891923
1974	20	0.000420303605313093	0.000997368421052632	0.00048955773955774
1974	21	0.000327440430438125	0.000649538866930171	0.000443543356207112
1974	22	0.000318223028105168	0.000497360084477297	0.000404599129894344
1974	23	0.00024465008675535	0.0008266438941076	0.00034984984984985
1974	24	0.000221610805402701	0.000753257328990228	0.000454003970880212
1974	25	0.000366346153846154	0.000455663762173244	0.00045959595959596
1974	26	0.000436179981634527	0.000760587726879862	0.000461277173913043
1974	27	0.000256467941507312	0.000732849071832123	0.000342171085542771
1974	28	0.000354655870445344	0.00050414201183432	0.000396815676668708
1974	29	0.000473637176050045	0.000870736086175943	0.000402673796791444
1974	30	0.000410911602209945	0.000936480686695279	0.000431482424859908
1974	31	0.0003690872751499	0.00081478102189781	0.000566744730679157
1974	32	0.000357608695652174	0.000987884436160298	0.000706896551724138
1974	33	0.000647562018819504	0.000622384937238494	0.000685874912157414
1974	34	0.000569593147751606	0.000907356948228883	0.000730006835269993
1974	35	0.000711538461538461	0.000852037617554859	8e-04
1974	36	0.000630849220103986	0.000951929587000677	0.000647850854479544
1974	37	0.000956221198156682	0.000862068965517241	0.0008621103117506
1974	38	0.000671812464265294	0.000944618599791014	0.000885139135583185
1974	39	0.00108631921824104	0.00102632964718273	0.000874070138150903
1974	40	0.00150996376811594	0.00143543153796236	0.00110403638430927
1974	41	0.00109871794871795	0.00243419788664745	0.00154538852578068
1974	42	0.0010206458443621	0.00222524565381708	0.00184075471698113
1974	43	0.0012953995157385	0.00223071852340145	0.00171508379888268
1974	44	0.00201056910569106	0.00322328410078193	0.00196002538071066
1974	45	0.00160155316606929	0.00211743215031315	0.00275593775593776
1974	46	0.00168983050847458	0.00268701442841287	0.0030023023791251
1974	47	0.00183541770885443	0.00403389830508475	0.00349685534591195
1974	48	0.00200272925764192	0.00534615384615385	0.00333448753462604
1974	49	0.00273950131233596	0.00602035398230089	0.00355418559377028
1974	50	0.00239742268041237	0.00461208459214502	0.00402763157894737
1974	51	0.00403050288540808	0.004073	0.0037798485730926
1974	52	0.00313127187864644	0.00486517438833941	0.00417103762827822
1974	53	0.00446990740740741	0.00538230647709321	0.0068298969072165
1974	54	0.00564309484193012	0.0067755214050494	0.00547401847575058
1974	55	0.00415177398160315	0.00656506849315068	0.00622073342736248
1974	56	0.00459227748691099	0.00980262199563001	0.00970441458733205
1974	57	0.00465526751241037	0.0120203442879499	0.01103095684803
1974	58	0.00750589225589226	0.0131308049535604	0.00943237250554324
1974	59	0.00857341442224153	0.012983039348711	0.0117755775577558
1974	60	0.00574021164021164	0.0190404783808648	0.00959059987631416
1974	61	0.00704164077066501	0.0167642642642643	0.0107216093445814
1974	62	0.0104101941747573	0.0218385964912281	0.0095783755819969
1974	63	0.0101814759036145	0.0172574320050601	0.0106825737265416
1974	64	0.00760499490316004	0.0278590785907859	0.0126471590909091
1974	65	0.00919568822553897	0.0313708487084871	0.0210368150684932
1974	66	0.0105634118967452	0.0326930518909411	0.0137794715447154
