"","year","sex","lower_ci","upper_ci","mean_ex","Country_of_Birth"
"30",1985,"Male",60.6299086789959,60.9117555140994,60.7630090016452,"All"
"31",1986,"Female",65.2187938680776,65.4457700534938,65.3274807540564,"All"
"32",1986,"Male",60.7198941838021,60.9500076420172,60.8413598478292,"All"
"33",1987,"Female",65.2201937843231,65.4838426864881,65.3627112139496,"All"
"34",1987,"Male",60.7429607387665,61.0056748848535,60.8771401561482,"All"
"35",1988,"Female",65.4261857985348,65.6584263046007,65.5390671107741,"All"
"36",1988,"Male",60.7671167099319,61.0088769950083,60.8943567154401,"All"
"37",1989,"Female",65.4647409876867,65.6455485023335,65.556529694394,"All"
"38",1989,"Male",60.8159174946542,61.0646346116303,60.9332772560233,"All"
"39",1990,"Female",65.6381880907202,65.8436432571554,65.7447797409255,"All"
"40",1990,"Male",60.8507269691607,61.1145047863888,60.9794579377778,"All"
"41",1991,"Female",65.6669954774101,65.9027922907344,65.7814628192359,"All"
"42",1991,"Male",60.980567689532,61.2201876322083,61.0899906793016,"All"
"43",1992,"Female",65.7181022816737,66.0504632413149,65.9181995287159,"All"
"44",1992,"Male",60.8707815952257,61.0684537178135,60.958198064322,"All"
"45",1993,"Female",65.7214041262733,65.9687328380436,65.8346745715719,"All"
"46",1993,"Male",60.8698235323507,61.1647715974407,61.0232907812641,"All"
"47",1994,"Female",65.8942296011399,66.0855619268038,66.0035622870295,"All"
"48",1994,"Male",61.0022528633568,61.2224574630443,61.105027717942,"All"
"49",1995,"Female",65.8850612056676,66.1642752361646,66.0419247643023,"All"
"50",1995,"Male",60.9869741289386,61.2676919702864,61.1315262183662,"All"
"51",1996,"Female",65.7466089778216,65.9856972503977,65.8670422843891,"All"
"52",1996,"Male",60.9598381859099,61.2108594782514,61.1028815769385,"All"
"53",1997,"Female",65.8966761245784,66.2063538114103,66.0543504749708,"All"
"54",1997,"Male",60.8813388661893,61.1360866249168,61.0231866258882,"All"
"55",1998,"Female",65.9798012518489,66.2684185786405,66.1161380992381,"All"
"56",1998,"Male",61.0360988623706,61.2910862091299,61.1782943938725,"All"
"57",1999,"Female",65.9303804821033,66.1489284791721,66.0589339772525,"All"
"58",1999,"Male",60.966273122013,61.1944685205216,61.0749214833297,"All"
"59",2000,"Female",65.9401067865996,66.2265659741258,66.0943895881045,"All"
"60",2000,"Male",61.0919708245578,61.310958330465,61.1858591889896,"All"
"61",2001,"Female",65.8791355104078,66.1097450327177,65.9879859511723,"All"
"62",2001,"Male",61.084642793043,61.3183782048524,61.2096691416631,"All"
"63",2002,"Female",65.9700461623368,66.1886947448074,66.0930230989497,"All"
"64",2002,"Male",60.9915042826926,61.2091228904075,61.1009094344705,"All"
"65",2003,"Female",66.0594879188242,66.2843288505686,66.1869127791032,"All"
"66",2003,"Male",61.031951942449,61.2605822618331,61.1467064743992,"All"
"67",2004,"Female",65.8360926900856,66.0610725834542,65.9647993426798,"All"
"68",2004,"Male",60.8508162653894,61.097094760864,61.0006747514116,"All"
"69",2005,"Female",65.9413332915005,66.1933932809473,66.078504591604,"All"
"70",2005,"Male",60.9016126948308,61.1228395892514,60.9991675873243,"All"
"71",2006,"Female",65.9977188616976,66.2398698527241,66.1136239974603,"All"
"72",2006,"Male",61.0773112749041,61.3033906925521,61.1913594105685,"All"
"73",2007,"Female",65.9649056246705,66.1915202428191,66.0741061106737,"All"
"74",2007,"Male",60.9676825501468,61.2697395083682,61.1022169227732,"All"
"75",2008,"Female",65.9396333194186,66.1851009118981,66.0674563414715,"All"
"76",2008,"Male",60.9021768148055,61.2377382021337,61.0429997031962,"All"
"77",2009,"Female",66.025061035711,66.2662730271955,66.1516792500921,"All"
"78",2009,"Male",60.8323341318844,61.1143855044481,60.9933526196467,"All"
"79",2010,"Female",65.8970729850971,66.1640136670013,66.0435075073103,"All"
"80",2010,"Male",60.9783372950887,61.2053750169872,61.0788943543,"All"
"81",2011,"Female",65.9291633804717,66.1765489844944,66.0563738951757,"All"
"82",2011,"Male",60.9078412568722,61.1336989026271,61.0181776978318,"All"
"83",2012,"Female",65.8877267823046,66.1552774856399,66.0432209637369,"All"
"84",2012,"Male",60.9277219183259,61.1722328078853,61.0490822562509,"All"
"85",2013,"Female",65.9835491165983,66.2278390874144,66.0952362016739,"All"
"86",2013,"Male",61.0315738291796,61.2924955612792,61.1809193077166,"All"
"87",2014,"Female",65.904080552871,66.1562380211806,66.0169507322179,"All"
"88",2014,"Male",60.8541586278228,61.0868892940318,60.9689940101968,"All"
"89",2015,"Female",65.9272181049263,66.099932587537,66.0121692499012,"All"
"90",2015,"Male",61.058948696817,61.3082855351053,61.1434734334699,"All"
"91",2016,"Female",66.0214901658155,66.2080831809002,66.121839578591,"All"
"92",2016,"Male",60.9215056434858,61.1730315460492,61.0360247193294,"All"
"93",2017,"Female",1.42924344530945,1.43272418258726,1.43133710210783,"All"
"94",2017,"Male",1.43090209875714,1.43378503589106,1.43241536713762,"All"
"95",1971,"Female",59.4143921286743,59.5437423614981,59.4857178146697,"England and Wales"
"96",1971,"Male",56.9938284514746,57.1692877872425,57.1013904333744,"England and Wales"
"97",1972,"Female",60.0043426360391,60.1533312370671,60.069464709912,"England and Wales"
"98",1972,"Male",57.4102140428359,57.6003359550352,57.5160899337558,"England and Wales"
"99",1973,"Female",60.576806728332,60.7174711420651,60.6536354229609,"England and Wales"
"100",1973,"Male",57.7317686971508,57.9511785600588,57.8391185648131,"England and Wales"
"101",1974,"Female",61.1028769600262,61.2616015995761,61.1684110413493,"England and Wales"
"102",1974,"Male",58.0667126680741,58.3176151693393,58.1825548140988,"England and Wales"
"103",1975,"Female",61.6344159082518,61.8312683069344,61.7198896809597,"England and Wales"
"104",1975,"Male",58.389728492891,58.6058207540517,58.5176492868006,"England and Wales"
"105",1976,"Female",61.9589692505641,62.1404108358354,62.0502516103861,"England and Wales"
"106",1976,"Male",58.6449022674297,58.912746746706,58.8016058958273,"England and Wales"
"107",1977,"Female",62.5369501996738,62.7036036799155,62.6085682159932,"England and Wales"
"108",1977,"Male",58.9563467281971,59.1411040869445,59.0444519176819,"England and Wales"
"109",1978,"Female",62.8183398286114,63.0082360603055,62.9083082938305,"England and Wales"
"110",1978,"Male",59.1781161488358,59.4458134537651,59.2952445818718,"England and Wales"
"111",1979,"Female",63.1412660034658,63.3216231200448,63.2152384254535,"England and Wales"
"112",1979,"Male",59.423827292158,59.6591437398063,59.5450222301973,"England and Wales"
"113",1980,"Female",63.4777156175184,63.6556615616708,63.5623063572071,"England and Wales"
"114",1980,"Male",59.536246685438,59.7884301580262,59.6644730738614,"England and Wales"
"115",1981,"Female",63.7388081970605,63.97792973649,63.848577501888,"England and Wales"
"116",1981,"Male",59.7189854594533,60.0110379222396,59.8784333866383,"England and Wales"
"117",1982,"Female",63.9821164348858,64.2387734159143,64.116651353007,"England and Wales"
"118",1982,"Male",59.8059996023255,60.0345667240615,59.9117085819957,"England and Wales"
"119",1983,"Female",64.2216742975448,64.4931350791814,64.3432564050201,"England and Wales"
"120",1983,"Male",59.7934856739452,60.0834659424539,59.958823423397,"England and Wales"
"121",1984,"Female",64.2586153926146,64.538654035446,64.3627415342785,"England and Wales"
"122",1984,"Male",59.9547885275062,60.2760684338187,60.1218195820303,"England and Wales"
"123",1985,"Female",64.5269137704531,64.7469192055815,64.6412504983451,"England and Wales"
"124",1985,"Male",59.9893773701162,60.2882851522496,60.1694033483876,"England and Wales"
"125",1986,"Female",64.7513355142101,64.9733749756066,64.8609438900019,"England and Wales"
"126",1986,"Male",60.1674133529991,60.3807997591687,60.2849625695125,"England and Wales"
"127",1987,"Female",64.6775722737168,64.9563186164355,64.8324721368579,"England and Wales"
"128",1987,"Male",60.1915371006658,60.4255698439183,60.3057250130237,"England and Wales"
"129",1988,"Female",64.7926920754923,65.1425734375262,64.9970008408772,"England and Wales"
"130",1988,"Male",60.1575374623266,60.4452576467609,60.2871481036612,"England and Wales"
"131",1989,"Female",64.9049845878868,65.2135312015315,65.0517722170156,"England and Wales"
"132",1989,"Male",60.2692519165554,60.5005296341543,60.3783009535721,"England and Wales"
"133",1990,"Female",65.0825954787577,65.3752954994692,65.2152196099365,"England and Wales"
"134",1990,"Male",60.2948163937504,60.5988006367619,60.4240904181258,"England and Wales"
"135",1991,"Female",65.1125212872218,65.4125091105288,65.2276759088876,"England and Wales"
"136",1991,"Male",60.3790033839358,60.6350874005457,60.5175004121015,"England and Wales"
"137",1992,"Female",65.1519966271459,65.430075742037,65.2864110005806,"England and Wales"
"138",1992,"Male",60.2330122869186,60.5102592525149,60.3604531876989,"England and Wales"
"139",1993,"Female",65.1407006925986,65.3747185342587,65.2580070579173,"England and Wales"
"140",1993,"Male",60.2909313092178,60.5609720573999,60.4372861770548,"England and Wales"
"141",1994,"Female",65.3908831963897,65.6718190300927,65.5281103981776,"England and Wales"
"142",1994,"Male",60.3774809618955,60.64198430681,60.5222482846252,"England and Wales"
"143",1995,"Female",65.2673492587789,65.5971316119323,65.4297943981019,"England and Wales"
"144",1995,"Male",60.3988548211781,60.7005005167082,60.5632780449035,"England and Wales"
"145",1996,"Female",65.1267817691719,65.4291579246774,65.2782417560914,"England and Wales"
"146",1996,"Male",60.3627851501796,60.6693435840334,60.4956961348406,"England and Wales"
"147",1997,"Female",65.3172612807193,65.6205013636112,65.4800932187272,"England and Wales"
"148",1997,"Male",60.2727166423627,60.558557115748,60.4333220607959,"England and Wales"
"149",1998,"Female",65.3649569149719,65.6329065137823,65.505343387747,"England and Wales"
"150",1998,"Male",60.4411221227396,60.7451897718983,60.6028831376637,"England and Wales"
"151",1999,"Female",65.2599307150366,65.5482153239715,65.4120448799414,"England and Wales"
"152",1999,"Male",60.3101350023482,60.5434346083137,60.4325591163499,"England and Wales"
"153",2000,"Female",65.3440114185824,65.6699349570141,65.4822935617022,"England and Wales"
"154",2000,"Male",60.4939649913169,60.784859792117,60.6337680401098,"England and Wales"
"155",2001,"Female",65.2167015941079,65.4944815439586,65.3226607958236,"England and Wales"
"156",2001,"Male",60.4433871093226,60.7584601625306,60.5940171635439,"England and Wales"
